hour_minute,high,low,average,open,close
15:29,4.01e-06,4e-06,4.0057142857142864e-06,4e-06,4.01e-06
15:31,3.98e-06,3.98e-06,3.98e-06,3.98e-06,3.98e-06
15:33,3.98e-06,3.96e-06,3.97e-06,3.98e-06,3.96e-06
15:34,4.02e-06,4.01e-06,4.016666666666667e-06,4.02e-06,4.01e-06
15:35,4.03e-06,4.02e-06,4.025e-06,4.03e-06,4.02e-06
15:37,4e-06,4e-06,4e-06,4e-06,4e-06
15:39,4.03e-06,4.03e-06,4.03e-06,4.03e-06,4.03e-06
15:40,4.04e-06,4.04e-06,4.04e-06,4.04e-06,4.04e-06
16:05,4.15e-06,4.15e-06,4.15e-06,4.15e-06,4.15e-06
16:09,4.15e-06,4.1e-06,4.125e-06,4.1e-06,4.15e-06
16:34,4.11e-06,4.1e-06,4.105e-06,4.1e-06,4.11e-06
16:35,4.1e-06,4.1e-06,4.1e-06,4.1e-06,4.1e-06
17:05,4.1e-06,4.1e-06,4.1e-06,4.1e-06,4.1e-06
17:06,4.1e-06,4.1e-06,4.1e-06,4.1e-06,4.1e-06
17:07,4.1e-06,4.1e-06,4.1e-06,4.1e-06,4.1e-06
17:08,4.1e-06,4.1e-06,4.1e-06,4.1e-06,4.1e-06
17:57,4.09e-06,4.02e-06,4.0625000000000005e-06,4.09e-06,4.05e-06
18:56,4.12e-06,4.12e-06,4.12e-06,4.12e-06,4.12e-06
19:48,4.07e-06,4.07e-06,4.07e-06,4.07e-06,4.07e-06
19:55,4.11e-06,4.11e-06,4.11e-06,4.11e-06,4.11e-06
19:58,4.11e-06,4.11e-06,4.11e-06,4.11e-06,4.11e-06
20:57,4.16e-06,4.16e-06,4.16e-06,4.16e-06,4.16e-06
23:48,3.97e-06,3.97e-06,3.97e-06,3.97e-06,3.97e-06
23:49,3.97e-06,3.97e-06,3.97e-06,3.97e-06,3.97e-06
23:51,3.97e-06,3.97e-06,3.97e-06,3.97e-06,3.97e-06
23:52,3.94e-06,3.94e-06,3.94e-06,3.94e-06,3.94e-06
00:31,4.22e-06,4.02e-06,4.068e-06,4.22e-06,4.02e-06
00:32,4.25e-06,4.1e-06,4.16e-06,4.25e-06,4.19e-06
00:36,4.23e-06,4.14e-06,4.17e-06,4.23e-06,4.14e-06
01:51,4.01e-06,4.01e-06,4.01e-06,4.01e-06,4.01e-06
01:52,4.01e-06,4.01e-06,4.01e-06,4.01e-06,4.01e-06
02:00,4e-06,4e-06,4e-06,4e-06,4e-06
06:54,3.94e-06,3.94e-06,3.94e-06,3.94e-06,3.94e-06
06:58,3.91e-06,3.91e-06,3.91e-06,3.91e-06,3.91e-06
07:08,3.9e-06,3.9e-06,3.9e-06,3.9e-06,3.9e-06
07:24,3.9e-06,3.9e-06,3.9e-06,3.9e-06,3.9e-06
07:26,3.9e-06,3.9e-06,3.9e-06,3.9e-06,3.9e-06
07:52,3.87e-06,3.87e-06,3.87e-06,3.87e-06,3.87e-06
07:54,3.87e-06,3.87e-06,3.87e-06,3.87e-06,3.87e-06
08:04,3.8e-06,3.8e-06,3.8e-06,3.8e-06,3.8e-06
08:05,3.76e-06,3.76e-06,3.76e-06,3.76e-06,3.76e-06
09:30,3.9e-06,3.86e-06,3.886666666666667e-06,3.9e-06,3.86e-06
12:41,3.9e-06,3.88e-06,3.89e-06,3.88e-06,3.9e-06
13:52,3.88e-06,3.88e-06,3.88e-06,3.88e-06,3.88e-06
14:06,3.96e-06,3.9e-06,3.9283333333333336e-06,3.96e-06,3.9e-06
14:08,3.92e-06,3.91e-06,3.915e-06,3.91e-06,3.92e-06
14:11,3.9e-06,3.9e-06,3.9e-06,3.9e-06,3.9e-06
15:01,3.92e-06,3.88e-06,3.903333333333333e-06,3.88e-06,3.92e-06
15:02,3.92e-06,3.84e-06,3.891428571428571e-06,3.84e-06,3.92e-06
15:07,4.24e-06,3.83e-06,4.0349999999999995e-06,3.83e-06,4.24e-06
16:15,3.82e-06,3.82e-06,3.82e-06,3.82e-06,3.82e-06
16:40,3.92e-06,3.91e-06,3.9159999999999994e-06,3.92e-06,3.91e-06
16:41,3.93e-06,3.93e-06,3.93e-06,3.93e-06,3.93e-06
16:42,3.93e-06,3.93e-06,3.93e-06,3.93e-06,3.93e-06
16:45,3.85e-06,3.85e-06,3.85e-06,3.85e-06,3.85e-06
16:46,3.86e-06,3.86e-06,3.86e-06,3.86e-06,3.86e-06
16:56,3.83e-06,3.83e-06,3.83e-06,3.83e-06,3.83e-06
17:20,3.79e-06,3.79e-06,3.79e-06,3.79e-06,3.79e-06
17:22,3.81e-06,3.8e-06,3.8025000000000004e-06,3.81e-06,3.8e-06
17:23,3.8e-06,3.8e-06,3.8e-06,3.8e-06,3.8e-06
17:32,3.78e-06,3.78e-06,3.78e-06,3.78e-06,3.78e-06
18:04,3.8e-06,3.8e-06,3.8e-06,3.8e-06,3.8e-06
18:05,3.83e-06,3.83e-06,3.83e-06,3.83e-06,3.83e-06
18:06,3.86e-06,3.86e-06,3.86e-06,3.86e-06,3.86e-06
18:10,3.89e-06,3.89e-06,3.89e-06,3.89e-06,3.89e-06
18:12,3.92e-06,3.92e-06,3.92e-06,3.92e-06,3.92e-06
18:13,3.95e-06,3.95e-06,3.95e-06,3.95e-06,3.95e-06
00:19,3.99e-06,3.99e-06,3.99e-06,3.99e-06,3.99e-06
00:27,4.01e-06,4.01e-06,4.01e-06,4.01e-06,4.01e-06
00:28,4.01e-06,4.01e-06,4.01e-06,4.01e-06,4.01e-06
00:51,3.99e-06,3.99e-06,3.99e-06,3.99e-06,3.99e-06
00:52,4.02e-06,3.95e-06,3.9868292682926825e-06,3.98e-06,3.98e-06
00:53,4.04e-06,3.95e-06,4.01e-06,4.04e-06,3.99e-06
00:55,3.99e-06,3.99e-06,3.99e-06,3.99e-06,3.99e-06
00:56,3.98e-06,3.98e-06,3.98e-06,3.98e-06,3.98e-06
01:11,3.98e-06,3.98e-06,3.98e-06,3.98e-06,3.98e-06
02:20,3.99e-06,3.97e-06,3.983750000000001e-06,3.99e-06,3.98e-06
02:21,3.99e-06,3.99e-06,3.99e-06,3.99e-06,3.99e-06
03:25,3.82e-06,3.82e-06,3.82e-06,3.82e-06,3.82e-06
03:27,3.8e-06,3.8e-06,3.8e-06,3.8e-06,3.8e-06
03:32,3.79e-06,3.79e-06,3.79e-06,3.79e-06,3.79e-06
05:12,3.78e-06,3.78e-06,3.78e-06,3.78e-06,3.78e-06
05:22,3.75e-06,3.75e-06,3.75e-06,3.75e-06,3.75e-06
05:25,3.73e-06,3.73e-06,3.73e-06,3.73e-06,3.73e-06
05:43,3.73e-06,3.69e-06,3.7033333333333336e-06,3.69e-06,3.73e-06
05:53,3.7000000000000006e-06,3.69e-06,3.695e-06,3.69e-06,3.7000000000000006e-06
05:54,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06
05:55,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06
06:00,3.62e-06,3.62e-06,3.6199999999999996e-06,3.62e-06,3.62e-06
06:01,3.72e-06,3.72e-06,3.72e-06,3.72e-06,3.72e-06
06:02,3.72e-06,3.57e-06,3.6700000000000004e-06,3.72e-06,3.57e-06
06:04,3.58e-06,3.56e-06,3.568333333333333e-06,3.56e-06,3.57e-06
06:05,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06
06:08,3.52e-06,3.52e-06,3.52e-06,3.52e-06,3.52e-06
06:20,3.51e-06,3.51e-06,3.51e-06,3.51e-06,3.51e-06
06:21,3.51e-06,3.5000000000000004e-06,3.5050000000000003e-06,3.5000000000000004e-06,3.51e-06
06:22,3.51e-06,3.51e-06,3.51e-06,3.51e-06,3.51e-06
06:24,3.5000000000000004e-06,3.44e-06,3.4825e-06,3.44e-06,3.5000000000000004e-06
06:25,3.44e-06,3.44e-06,3.44e-06,3.44e-06,3.44e-06
06:27,3.44e-06,3.44e-06,3.44e-06,3.44e-06,3.44e-06
06:28,3.44e-06,3.43e-06,3.435e-06,3.43e-06,3.44e-06
06:29,3.45e-06,3.44e-06,3.445e-06,3.45e-06,3.44e-06
06:30,3.5000000000000004e-06,3.5000000000000004e-06,3.5000000000000004e-06,3.5000000000000004e-06,3.5000000000000004e-06
06:33,3.5000000000000004e-06,3.5000000000000004e-06,3.5000000000000004e-06,3.5000000000000004e-06,3.5000000000000004e-06
06:34,3.51e-06,3.51e-06,3.51e-06,3.51e-06,3.51e-06
06:35,3.51e-06,3.51e-06,3.51e-06,3.51e-06,3.51e-06
06:42,3.45e-06,3.43e-06,3.44e-06,3.43e-06,3.45e-06
06:43,3.46e-06,3.43e-06,3.445e-06,3.43e-06,3.46e-06
07:22,3.53e-06,3.53e-06,3.53e-06,3.53e-06,3.53e-06
07:23,3.53e-06,3.53e-06,3.53e-06,3.53e-06,3.53e-06
08:33,3.41e-06,3.41e-06,3.41e-06,3.41e-06,3.41e-06
08:34,3.41e-06,3.41e-06,3.41e-06,3.41e-06,3.41e-06
08:36,3.41e-06,3.41e-06,3.41e-06,3.41e-06,3.41e-06
09:21,3.52e-06,3.52e-06,3.52e-06,3.52e-06,3.52e-06
10:24,3.48e-06,3.48e-06,3.48e-06,3.48e-06,3.48e-06
10:59,3.54e-06,3.54e-06,3.54e-06,3.54e-06,3.54e-06
11:11,3.57e-06,3.57e-06,3.57e-06,3.57e-06,3.57e-06
11:12,3.6000000000000003e-06,3.6000000000000003e-06,3.6000000000000003e-06,3.6000000000000003e-06,3.6000000000000003e-06
11:13,3.6000000000000003e-06,3.6000000000000003e-06,3.6000000000000003e-06,3.6000000000000003e-06,3.6000000000000003e-06
11:42,3.63e-06,3.63e-06,3.63e-06,3.63e-06,3.63e-06
12:30,3.6000000000000003e-06,3.59e-06,3.5950000000000003e-06,3.59e-06,3.6000000000000003e-06
12:52,3.66e-06,3.66e-06,3.66e-06,3.66e-06,3.66e-06
14:23,3.6000000000000003e-06,3.6000000000000003e-06,3.6000000000000003e-06,3.6000000000000003e-06,3.6000000000000003e-06
14:24,3.61e-06,3.61e-06,3.61e-06,3.61e-06,3.61e-06
16:01,3.64e-06,3.64e-06,3.64e-06,3.64e-06,3.64e-06
17:45,3.59e-06,3.59e-06,3.59e-06,3.59e-06,3.59e-06
18:01,3.58e-06,3.58e-06,3.58e-06,3.58e-06,3.58e-06
18:03,3.64e-06,3.64e-06,3.64e-06,3.64e-06,3.64e-06
18:25,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06
18:26,3.72e-06,3.72e-06,3.72e-06,3.72e-06,3.72e-06
18:43,3.78e-06,3.75e-06,3.76e-06,3.78e-06,3.75e-06
18:46,3.75e-06,3.74e-06,3.7420000000000003e-06,3.74e-06,3.75e-06
18:49,3.66e-06,3.66e-06,3.66e-06,3.66e-06,3.66e-06
18:54,3.64e-06,3.64e-06,3.64e-06,3.64e-06,3.64e-06
18:55,3.67e-06,3.67e-06,3.67e-06,3.67e-06,3.67e-06
18:56,3.7000000000000006e-06,3.7000000000000006e-06,3.7000000000000006e-06,3.7000000000000006e-06,3.7000000000000006e-06
19:06,3.66e-06,3.63e-06,3.65e-06,3.63e-06,3.66e-06
19:22,3.66e-06,3.66e-06,3.66e-06,3.66e-06,3.66e-06
19:25,3.72e-06,3.72e-06,3.72e-06,3.72e-06,3.72e-06
19:31,3.7000000000000006e-06,3.7000000000000006e-06,3.7000000000000006e-06,3.7000000000000006e-06,3.7000000000000006e-06
19:38,3.73e-06,3.73e-06,3.73e-06,3.73e-06,3.73e-06
00:09,3.76e-06,3.76e-06,3.76e-06,3.76e-06,3.76e-06
02:42,3.7000000000000006e-06,3.7000000000000006e-06,3.7000000000000006e-06,3.7000000000000006e-06,3.7000000000000006e-06
04:46,3.56e-06,3.56e-06,3.56e-06,3.56e-06,3.56e-06
04:47,3.56e-06,3.56e-06,3.56e-06,3.56e-06,3.56e-06
06:04,3.64e-06,3.64e-06,3.6400000000000003e-06,3.64e-06,3.64e-06
06:33,3.65e-06,3.65e-06,3.65e-06,3.65e-06,3.65e-06
07:50,3.67e-06,3.67e-06,3.67e-06,3.67e-06,3.67e-06
08:45,3.66e-06,3.66e-06,3.66e-06,3.66e-06,3.66e-06
11:26,3.65e-06,3.65e-06,3.65e-06,3.65e-06,3.65e-06
12:37,3.7000000000000006e-06,3.7000000000000006e-06,3.7000000000000006e-06,3.7000000000000006e-06,3.7000000000000006e-06
13:47,3.73e-06,3.73e-06,3.73e-06,3.73e-06,3.73e-06
14:01,3.76e-06,3.74e-06,3.75e-06,3.76e-06,3.74e-06
14:51,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06
14:53,3.7000000000000006e-06,3.7000000000000006e-06,3.7000000000000006e-06,3.7000000000000006e-06,3.7000000000000006e-06
14:54,3.71e-06,3.7000000000000006e-06,3.705e-06,3.7000000000000006e-06,3.71e-06
15:13,3.68e-06,3.68e-06,3.68e-06,3.68e-06,3.68e-06
15:14,3.69e-06,3.68e-06,3.685e-06,3.68e-06,3.69e-06
15:15,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06
15:16,3.68e-06,3.68e-06,3.68e-06,3.68e-06,3.68e-06
16:33,3.74e-06,3.74e-06,3.74e-06,3.74e-06,3.74e-06
16:58,3.74e-06,3.74e-06,3.74e-06,3.74e-06,3.74e-06
16:59,3.74e-06,3.74e-06,3.74e-06,3.74e-06,3.74e-06
18:00,3.75e-06,3.73e-06,3.741666666666667e-06,3.75e-06,3.74e-06
18:01,3.78e-06,3.77e-06,3.7733333333333333e-06,3.77e-06,3.78e-06
18:02,3.82e-06,3.79e-06,3.803333333333333e-06,3.81e-06,3.79e-06
18:03,3.85e-06,3.83e-06,3.8400000000000005e-06,3.83e-06,3.84e-06
18:05,3.85e-06,3.85e-06,3.85e-06,3.85e-06,3.85e-06
18:08,3.88e-06,3.88e-06,3.88e-06,3.88e-06,3.88e-06
18:15,3.88e-06,3.88e-06,3.88e-06,3.88e-06,3.88e-06
18:36,3.71e-06,3.65e-06,3.6825e-06,3.68e-06,3.71e-06
18:37,3.68e-06,3.44e-06,3.5000000000000004e-06,3.5000000000000004e-06,3.68e-06
18:46,3.74e-06,3.74e-06,3.74e-06,3.74e-06,3.74e-06
18:47,3.76e-06,3.74e-06,3.7500000000000005e-06,3.76e-06,3.74e-06
18:49,3.79e-06,3.78e-06,3.785e-06,3.79e-06,3.78e-06
22:00,3.8e-06,3.8e-06,3.8e-06,3.8e-06,3.8e-06
22:01,3.78e-06,3.78e-06,3.78e-06,3.78e-06,3.78e-06
22:02,3.79e-06,3.79e-06,3.79e-06,3.79e-06,3.79e-06
01:30,3.73e-06,3.73e-06,3.73e-06,3.73e-06,3.73e-06
02:54,3.66e-06,3.64e-06,3.6533333333333332e-06,3.64e-06,3.66e-06
03:01,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06
07:14,3.8e-06,3.8e-06,3.8e-06,3.8e-06,3.8e-06
07:17,3.8e-06,3.8e-06,3.8e-06,3.8e-06,3.8e-06
07:21,3.84e-06,3.84e-06,3.84e-06,3.84e-06,3.84e-06
07:24,3.88e-06,3.87e-06,3.875e-06,3.88e-06,3.87e-06
07:37,3.87e-06,3.87e-06,3.87e-06,3.87e-06,3.87e-06
07:39,3.88e-06,3.88e-06,3.88e-06,3.88e-06,3.88e-06
07:41,3.93e-06,3.93e-06,3.93e-06,3.93e-06,3.93e-06
